category,name,type,source,effect
cyber_bio,Regenerate,Bioware (Body),Coriolis RPG,"You heal fast, and recover remarkably quickly even from grave injuries. The time to heal a critical injury (page 94) is halved. You also get 1 extra Hit Capacity.
Cost: 15,000 birr."
cyber_bio,Servo Locks,Cyberware (Body),Coriolis RPG,"The joints in your arms and shoulders have been replaced with lockable servo units, enabling you to carry extremely heavy objects for short distances, and grapple people in combat very effectively. You get a +1 to MELEE COMBAT when your opponent tries to break free from your grappling hold, and a +1 to FORCE for heavy lifting.
Cost: 4,000 birr."
cyber_bio,Skin Electrodes,Cyberware (Body),Coriolis RPG,"Your palms are fitted with conductive surfaces capable of transmitting powerful electrical shocks. After a successful unarmed attack, you can choose to inflict shock damage instead of physical damage. Each additional six rolled inflicts 1 extra point of damage as normal.
Cost: 6,000 birr."
cyber_bio,Targeting Scope,Cyberware (Accessory),Coriolis RPG,"One of your eyes has been enhanced with a targeting scope. Makes it easier to hit with firearms (+1 to RANGED COMBAT) at Short range and above. Does not work for quick shots.
Cost: 20,000 birr."
cyber_bio,Voice Amplifier,Cyberware (Accessory),Coriolis RPG,"A resonance chamber with built-in loudspeakers in your throat can amplify your voice. You get a +1 to COMMAND or PERSUASION in situations where a loud voice is a benefit, for example when intimidating someone.
Cost: 2,000 birr."
cyber_bio,Water Breathing,Cyberware (Accessory),Coriolis RPG,"Artificial gills allow you to extract oxygen from water. You can remain under water for as long as you like but are affected by other factors like cold.
Cost: 5,000 birr."
cyber_bio,Weatherproof,Cyberware (Body),Coriolis RPG,"You are heavily modified to withstand all climates, recycle body fluids and conserve energy. The effect of this is that the time between each point of damage you suffer from thirst or hunger (page 98) is doubled – to 24 hours and 4 days, respectively.
Cost: 2,000 birr."
mystic,Artificer,Mystic Power,Coriolis RPG,"You can enter a trance to understand an artifact close to you, and to determine its origin and use."
mystic,Clairvoyant,Mystic Power,Coriolis RPG,"You get visions of where an object or a person can be found. The GM decides what form the visions take, but as a rule of thumb, an object you once owned is easier to locate than an object only described to you."
mystic,Exorcist,Mystic Power,Coriolis RPG,You can enter a trance and exorcise an intruding spirit from someone.
mystic,Intuition,Mystic Power,Coriolis RPG,"You get to ask the GM a simple yes/no question about anything in the game world. He must answer truthfully “yes”, “no” or “maybe”. The GM can answer “maybe” even if he knows the answer, if he thinks answering yes or no would upset the game too much. Please note that neither truths nor lies are universal – it depends on who is asking. Opinions, morals and worldviews can make something true to someone and false to someone else."
mystic,Materia Shield,Mystic Power,Mercy of the Icons (TLC),"You can attract loose objects and fragile matter by force of will, turning the attracted matter into a shield around you (armor 1 against ranged attacks and fire). Each extra six on your mystic powers roll adds 1 to the armor rating of the shield or allows you to protect one extra person within Close Range. People may attempt to force their way through the shield by rolling an opposed FORCE vs your armor rating (need success equal or greater than armor rating). Creating the shield is a Slow action and maintaining it is a Fast action per turn. When taking damage, roll a CUF roll and on failure, you lose concentration, dropping the shield. If you fail to maintain the shield by using an action, the effect stops and must be done once again."
mystic,Mind Reader,Mystic Power,Coriolis RPG,You can read someone else’s thoughts for a minute or so. You can only read surface thoughts; you can’t dig for any deeper memories. Your target must be within Close Range. Failure means the target is aware of a presence in their mind.
mystic,Mind Walker,Mystic Power,Coriolis RPG,"If you focus your thoughts on a person you have previously met, you can tap into that person’s sensory input. You experience what that person sees, hears and feels in that exact moment, regardless of where in the Horizon thy are. No thoughts or emotions are transmitted"
mystic,Prediction,Mystic Power,Coriolis RPG,"If you conduct a séance, you can experience powerful visions of the future. You ask the GM questions about yourself or someone else taking part in the séance. The GM answers as best he can. The answers should be short, preferably mysterious and ambiguous. An answer could also take the form of an omen, a sign of fortune or tragedy waiting around the corner."
mystic,Premonition,Mystic Power,Coriolis RPG,"In some mysterious way, you can sense impending danger. The GM will have you test MYSTIC POWERS – if you pass, you get a feeling of a looming threat, but no details about what it might be."
mystic,Puppeteer,Mystic Power,Mercy of the Icons (TLC),"Using a Slow action, you may assume control over a person you have known for some time or have shared a traumatic experience with. Your target may let you control her or try to resist. Resisting is an opposed EMPATHY or COMMAND vs your MYSTIC POWERS roll. You get a -1 if your target is out of sight but on the same planet as you, and a -3 if she is further away than that but still in the same system. Maintaining control is one Slow action per turn. If the person you are controlling suffers damage, you immediately suffer 1 point of stress. If your target becomes Broken, you suffer 2 points of stress and the connection is severed."
mystic,Stop,Mystic Power,Coriolis RPG,"You can stop an NPC from performing an action they otherwise would have. It must be something subtle, that can be attributed to simple forgetfulness. Typical examples would be that the NPC lets the PCs pass a roadblock without checking their papers, or forgets their keys somewhere. The power cannot be used to stop an incoming attack. The target will find the interaction odd and will remember they did this, but not understand why which may draw attention later."
mystic,Telekinesis,Mystic Power,Coriolis RPG,"You can lift, move, turn or bend an object using sheer force of will. The item must be tiny – larger objects are beyond your control. No dice roll is needed, unless you want to use the object for something demanding like moving a key to a lock and then turning it. Then test any appropriate skill. The power cannot be used to attack someone in combat."
mystic,Telekinetic Blast,Mystic Power,,"At the cost of 1 Stress, you can create a telekinetic blast that can knock over objects (weapon damage 2, CRIT 3, Short range only)."
mystic,Telepathy,Mystic Power,,"You can also transmit short telepathic messages. When stressed, your thoughts sometimes spill over into the heads of those nearby, especially other mystics."
mystic,Thought Transference,Mystic Power,Mercy of the Icons (TLC),You can project your thoughts into the minds of other people in sight. The recipient automatically understands that the thoughts came from you. Extra sixes on your mystic powers roll allow you to communicate with your PC Buddy regardless of distance or project your thoughts onto one extra person per six. A critically successful roll allows you to communicate with a person you know somewhat well regardless of distance.
